City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,nyala,12.05,24.8833,36.31,15,20,3.3,SD,1685637025
158,arawa,-6.2132,155.5367,25.17,89,100,1.68,PG,1685637025
159,chaklasi,22.65,72.9333,33.03,36,8,4.54,IN,1685637025
160,pleiku,13.9833,108.0,21.48,95,100,1.19,VN,1685637026
161,khorugh,37.4897,71.553,12.99,70,88,1.93,TJ,1685637026
162,daru,-9.0763,143.2092,25.39,87,70,7.16,PG,1685637026
163,salinopolis,-0.6136,-47.3561,29.18,70,7,4.44,BR,1685637026
164,thompson,55.7435,-97.8558,12.09,76,100,3.09,CA,1685637026
165,galliano,29.4422,-90.2992,29.44,61,40,2.57,US,1685637026
166,natchez,31.5604,-91.4032,29.12,54,0,1.54,US,1685637026
167,rongelap,11.1635,166.8941,27.38,79,97,8.19,MH,1685637026
168,tamiahua,21.2667,-97.45,29.53,67,27,5.36,MX,1685637026
169,medicine hat,50.0501,-110.6683,20.96,64,100,1.54,CA,1685637026
170,timbuktu,16.7735,-3.0074,41.55,10,90,7.37,ML,1685637026
171,buala,-8.145,159.5921,27.14,83,86,2.51,SB,1685637027
172,yurga,55.7231,84.8861,16.16,56,25,3.09,RU,1685637027
173,santana,-0.0583,-51.1817,32.1,66,40,4.12,BR,1685637027
174,noosa heads,-26.3833,153.15,14.08,76,3,2.28,AU,1685637027
175,ancud,-41.8697,-73.8203,11.35,79,100,5.91,CL,1685637027
176,kijang,35.2442,129.2139,17.85,97,98,1.92,KR,1685637027
177,waingapu,-9.6567,120.2641,22.95,84,100,3.69,ID,1685637027
178,lebu,-37.6167,-73.65,14.01,82,99,9.63,CL,1685637027
179,port mathurin,-19.6833,63.4167,24.61,65,28,7.98,MU,1685637027
180,polyarnyy,69.1989,33.4478,4.47,69,100,9.67,RU,1685636982
181,dingli,35.8614,14.3822,22.09,64,20,4.63,MT,1685637027
182,atafu village,-8.5421,-172.5159,28.44,73,92,4.34,TK,1685637028
183,dudinka,69.4058,86.1778,4.79,93,100,6.66,RU,1685637028
184,zheleznogorsk-ilimskiy,56.5768,104.1217,9.36,62,78,1.06,RU,1685637028
185,port shepstone,-30.7414,30.455,17.45,62,9,2.88,ZA,1685637028
186,salalah,17.0151,54.0924,31.05,79,75,4.63,OM,1685637028
187,aomori,40.8244,140.74,16.08,74,99,0.89,JP,1685637028
188,sao vicente,-23.9631,-46.3919,24.1,73,40,2.69,BR,1685636863
189,hirara,24.8,125.2833,25.92,94,100,10.8,JP,1685637028
190,arraial do cabo,-22.9661,-42.0278,23.98,78,40,11.32,BR,1685637028
191,alexandria,31.2156,29.9553,24.3,83,75,3.6,EG,1685636703
192,koryazhma,61.3143,47.1691,14.01,64,64,3.35,RU,1685637029
193,mata-utu,-13.2816,-176.1745,27.95,80,27,7.63,WF,1685636762
194,ceyhan,37.0247,35.8175,25.19,48,3,3.54,TR,1685636743
195,prince rupert,54.3161,-130.3201,10.05,81,100,8.75,CA,1685637029
196,kamaishi,39.2667,141.8833,15.71,93,100,4.91,JP,1685637029
197,mugia,43.1041,-9.2179,17.73,78,2,6.11,ES,1685637029
198,nikolayevsk-on-amure,53.1406,140.73,2.77,99,100,1.53,RU,1685637029
199,untergriesbach,48.5743,13.6673,24.61,46,100,1.79,DE,1685637029
200,udachny,66.4167,112.4,10.25,34,0,1.93,RU,1685636734
201,okha,53.5739,142.9478,1.33,97,100,3.3,RU,1685637029
202,bardai,11.65,7.2333,34.62,27,100,3.38,NG,1685637029
203,kanggye,40.9695,126.5852,12.9,98,100,0.47,KP,1685637029
204,verkhnevilyuysk,63.4453,120.3167,6.31,59,5,1.6,RU,1685637030
205,ulan bator,47.9077,106.8832,7.07,61,20,1.0,MN,1685636853
206,ciudad bolivar,8.1222,-63.5497,35.12,37,67,4.71,VE,1685637030
207,toulepleu guere,6.574,-8.4259,26.05,91,100,1.93,CI,1685637030
208,saint-pierre,-21.3393,55.4781,22.82,78,0,7.2,RE,1685637030
209,kapuskasing,49.4169,-82.4331,29.05,37,20,1.54,CA,1685636866
210,ribeira brava,32.65,-17.0667,25.4,71,26,5.01,PT,1685637030
